"","Taxa","sp","GEO3","ISO3","lon","lat","sol","sol_Hi","sol_Lo","sol_Mo","sol_VL","tot","lab","org","occ","sec","apa","stp10","stp100","stp20","stp30","PBR1","PBR2","PHO1","PHO2","PMEH1","PMEH2","PNZ1","PNZ2","POL1","POL2","TP1","TP2","NPlim","ext_P20"
"2673","SEEDGWAS4761:MRG:4:250096934","Zea mays","Meso-America","MEX",-102,21.11666667,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,592.944213867188,503.467803955078,557.300903320312,523.161193847656,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,-0.353720009326935,NA
"2674","SEEDGWAS4762:MRG:4:250096935","Zea mays","Meso-America","MEX",-102.748227,20.797435,8,0,0,80,20,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,637.892028808594,531.06640625,588.613891601562,558.676940917969,1111,154,NA,NA,NA,NA,3932,4923,NA,NA,700,500,-0.182679995894432,NA
"2675","SEEDGWAS4763:MRG:4:250096936","Zea mays","Meso-America","MEX",-97.58333333,19.86666667,2,0,20,30,50,NA,NA,NA,NA,NA,NA,1120.65075683594,1008.33093261719,1121.15502929688,1035.94653320312,575,138,NA,NA,NA,NA,5501,7282,NA,NA,900,800,NA,NA
"2676","SEEDGWAS4764:MRG:4:250096937","Zea mays","Meso-America","MEX",-99.43333333,18.73333333,8,0,0,100,0,NA,NA,NA,NA,NA,NA,559.397155761719,428.531616210938,483.850646972656,449.273864746094,1544,216,NA,NA,1977,534,2546,2596,866,NA,600,400,-0.261249989271164,NA
"2677","SEEDGWAS4765:MRG:4:250096938","Zea mays","Meso-America","MEX",-103.562492,25.624139,8,0,0,100,0,272.378723144531,14.3043403625488,51.0248336791992,119.972106933594,11.9521713256836,75.1252517700195,766.113037109375,573.532836914062,681.928894042969,605.576477050781,2213,211,2900,800,2689,236,1807,2081,718,129,500,400,NA,NA
"2678","SEEDGWAS4766:MRG:4:250096939","Zea mays","Meso-America","MEX",-102.869048,22.340737,9,0,0,60,40,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,837.150207519531,846.280456542969,939.552490234375,870.450622558594,2015,639,NA,NA,NA,NA,2827,4277,NA,NA,500,800,-0.192120000720024,NA
"2679","SEEDGWAS4767:MRG:4:250096940","Zea mays","Meso-America","MEX",-102.6666667,22.95,8,0,0,100,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,615.738708496094,553.476257324219,596.48291015625,561.800415039062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2680","SEEDGWAS4768:MRG:4:250096941","Zea mays","Meso-America","MEX",-102.6666667,22.95,8,0,0,100,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,615.738708496094,553.476257324219,596.48291015625,561.800415039062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2681","SEEDGWAS4769:MRG:4:250096946","Zea mays","Meso-America","MEX",-97.58333333,19.86666667,2,0,20,30,50,NA,NA,NA,NA,NA,NA,1120.65075683594,1008.33093261719,1121.15502929688,1035.94653320312,575,138,NA,NA,NA,NA,5501,7282,NA,NA,900,800,NA,NA
"2682","SEEDGWAS477:MRG:4:250059238","Zea mays","Meso-America","MEX",-98.712616,21.399889,9,0,50,50,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,1044.40673828125,916.488098144531,999.054321289062,938.547241210938,346,105,44,100,888,195,3922,4517,560,82,700,400,NA,NA
"2683","SEEDGWAS4770:MRG:4:250096947","Zea mays","Meso-America","MEX",-97.381224,19.812923,2,0,20,10,70,NA,NA,NA,NA,NA,NA,853.889038085938,836.840087890625,899.330505371094,858.030334472656,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2684","SEEDGWAS4771:MRG:4:250096949","Zea mays","Meso-America","MEX",-102.609647,21.006093,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,590.084167480469,524.638305664062,558.139709472656,544.828491210938,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,-0.162410005927086,NA
"2685","SEEDGWAS4772:MRG:4:250096952","Zea mays","Meso-America","MEX",-100.7333333,20.91666667,8,0,0,100,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,600.358459472656,528.107788085938,582.363220214844,550.431396484375,1480,NA,NA,NA,NA,NA,3007,3447,NA,NA,NA,NA,-0.346350014209747,NA
"2686","SEEDGWAS4773:MRG:4:250096953","Zea mays","Meso-America","MEX",-98.18333333,19.41666667,2,0,30,20,50,NA,NA,NA,NA,NA,NA,801.2412109375,816.111572265625,859.159362792969,835.261474609375,556,86,NA,NA,NA,NA,5391,6587,NA,NA,900,800,NA,NA
"2687","SEEDGWAS4774:MRG:4:250104987","Zea mays","Meso-America","MEX",-100.9333333,21.16666667,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,656.877197265625,532.995056152344,603.477966308594,546.009155273438,1480,NA,NA,NA,NA,NA,3007,3447,NA,NA,NA,NA,-0.367850005626678,NA
"2688","SEEDGWAS4775:MRG:4:250104991","Zea mays","Meso-America","MEX",-102.7333333,20.81666667,8,0,0,80,20,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,637.892028808594,531.06640625,588.613891601562,558.676940917969,1111,154,NA,NA,NA,NA,3932,4923,NA,NA,700,500,-0.158460006117821,NA
"2689","SEEDGWAS4776:MRG:4:250104992","Zea mays","Meso-America","MEX",-97.25,19.76666667,2,0,0,40,60,NA,NA,NA,NA,NA,NA,853.889038085938,836.840087890625,899.330505371094,858.030334472656,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2690","SEEDGWAS4777:MRG:4:250104993","Zea mays","Meso-America","MEX",-97.25,19.76666667,2,0,0,40,60,NA,NA,NA,NA,NA,NA,853.889038085938,836.840087890625,899.330505371094,858.030334472656,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2691","SEEDGWAS4778:MRG:4:250104995","Zea mays","Meso-America","MEX",-97.381224,19.812923,2,0,20,10,70,NA,NA,NA,NA,NA,NA,853.889038085938,836.840087890625,899.330505371094,858.030334472656,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2692","SEEDGWAS4779:MRG:4:250104998","Zea mays","Meso-America","MEX",-100.9333333,21.16666667,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,656.877197265625,532.995056152344,603.477966308594,546.009155273438,1480,NA,NA,NA,NA,NA,3007,3447,NA,NA,NA,NA,-0.367850005626678,NA
"2693","SEEDGWAS478:MRG:4:250059239","Zea mays","Meso-America","MEX",-101.799996,17.971798,11,0,70,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820,95,800,NA,1141,208,3455,3429,529,181,500,500,-0.280609995126724,NA
"2694","SEEDGWAS4780:MRG:4:250104999","Zea mays","Meso-America","MEX",-98.81666667,19.88333333,9,0,33,67,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,794.479919433594,650.809814453125,737.137084960938,683.155090332031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0776880010962486,NA
"2695","SEEDGWAS4781:MRG:4:250105000","Zea mays","Meso-America","MEX",-97.58333333,19.86666667,2,0,20,30,50,NA,NA,NA,NA,NA,NA,1120.65075683594,1008.33093261719,1121.15502929688,1035.94653320312,575,138,NA,NA,NA,NA,5501,7282,NA,NA,900,800,NA,NA
"2696","SEEDGWAS4782:MRG:4:250105001","Zea mays","Meso-America","MEX",-97.381224,19.812923,2,0,20,10,70,NA,NA,NA,NA,NA,NA,853.889038085938,836.840087890625,899.330505371094,858.030334472656,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2697","SEEDGWAS4783:MRG:4:250105003","Zea mays","Meso-America","MEX",-97.55,19.75,2,0,20,10,70,NA,NA,NA,NA,NA,NA,1120.65075683594,1008.33093261719,1121.15502929688,1035.94653320312,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,-0.0727410018444061,NA
"2698","SEEDGWAS4784:MRG:4:250105004","Zea mays","Meso-America","MEX",-102.808801,23.160482,8,0,0,100,0,297.140411376953,15.6047353744507,55.663459777832,130.878677368164,13.0387334823608,81.9548187255859,686.080261230469,606.896850585938,676.76611328125,620.25390625,2268,188,3000,1000,2832,262,1774,2054,794,141,500,400,-0.158079996705055,NA
"2699","SEEDGWAS4785:MRG:4:250105005","Zea mays","Meso-America","MEX",-98.513073,19.567345,2,0,20,10,70,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,794.479919433594,650.809814453125,737.137084960938,683.155090332031,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,NA,NA
"2700","SEEDGWAS4786:MRG:4:250105007","Zea mays","Meso-America","MEX",-98.23333333,19.16666667,2,0,30,20,50,NA,NA,NA,NA,NA,NA,801.2412109375,816.111572265625,859.159362792969,835.261474609375,556,86,NA,NA,NA,NA,5391,6587,NA,NA,900,800,NA,NA
